,division,region,heatdd,cooldd,tempjan,tempjuly,agecat
64,N. Eng.,NE,5976.0,611.0,27.4,72.5,30-34
65,N. Eng.,NE,5976.0,611.0,27.4,72.5,30-34
66,N. Eng.,NE,5976.0,611.0,27.4,72.5,30-34
67,N. Eng.,NE,6294.0,328.0,27.8,69.6,30-34
68,N. Eng.,NE,6294.0,328.0,27.8,69.6,30-34
69,Mid Atl,NE,5768.0,728.0,27.9,72.9,30-34
70,Mid Atl,NE,5768.0,728.0,27.9,72.9,30-34
71,N. Eng.,NE,5847.0,598.0,28.0,72.7,30-34
72,N. Eng.,NE,5847.0,598.0,28.0,72.7,30-34
73,N. Eng.,NE,5908.0,574.0,28.2,72.5,30-34
74,N. Eng.,NE,5908.0,574.0,28.2,72.5,30-34
75,N. Eng.,NE,5908.0,574.0,28.2,72.5,30-34
76,N. Eng.,NE,6121.0,382.0,28.2,70.1,30-34
77,N. Eng.,NE,5908.0,574.0,28.2,72.5,30-34
78,N. Eng.,NE,5908.0,574.0,28.2,72.5,30-34
79,N. Eng.,NE,5908.0,574.0,28.2,72.5,30-34
80,Mid Atl,NE,5335.0,1006.0,29.4,75.8,30-34
81,Mid Atl,NE,5335.0,1006.0,29.4,75.8,30-34
82,N. Eng.,NE,5501.0,746.0,29.5,74.0,30-34
83,N. Eng.,NE,5501.0,746.0,29.5,74.0,30-34
84,N. Eng.,NE,5501.0,746.0,29.5,74.0,30-34
85,N. Eng.,NE,5501.0,746.0,29.5,74.0,30-34
86,N. Eng.,NE,5501.0,746.0,29.5,74.0,30-34
87,N. Eng.,NE,5593.0,699.0,29.6,73.5,30-34
88,N. Eng.,NE,5593.0,699.0,29.6,73.5,30-34
89,N. Eng.,NE,5593.0,699.0,29.6,73.5,30-34
90,N. Eng.,NE,5593.0,699.0,29.6,73.5,30-34
91,N. Eng.,NE,5593.0,699.0,29.6,73.5,30-34
92,N. Eng.,NE,5593.0,699.0,29.6,73.5,30-34
93,N. Eng.,NE,5593.0,699.0,29.6,73.5,30-34
94,N. Eng.,NE,5593.0,699.0,29.6,73.5,30-34
95,N. Eng.,NE,5593.0,699.0,29.6,73.5,30-34
96,N. Eng.,NE,5593.0,699.0,29.6,73.5,30-34
97,N. Eng.,NE,5593.0,699.0,29.6,73.5,30-34
98,N. Eng.,NE,5593.0,699.0,29.6,73.5,30-34
99,N. Eng.,NE,5593.0,699.0,29.6,73.5,30-34
100,N. Eng.,NE,5593.0,699.0,29.6,73.5,30-34
101,N. Eng.,NE,5593.0,699.0,29.6,73.5,30-34
102,N. Eng.,NE,5593.0,699.0,29.6,73.5,30-34
103,Mid Atl,NE,5419.0,778.0,29.6,74.1,30-34
104,Mid Atl,NE,5664.0,608.0,29.7,72.6,30-34
105,Mid Atl,NE,5203.0,901.0,30.0,74.7,30-34
106,Mid Atl,NE,5203.0,901.0,30.0,74.7,30-34
107,Mid Atl,NE,5253.0,863.0,30.1,74.8,30-34
108,Mid Atl,NE,5239.0,832.0,30.2,74.7,30-34
109,Mid Atl,NE,5239.0,832.0,30.2,74.7,30-34
110,Mid Atl,NE,5239.0,832.0,30.2,74.7,30-34
111,Mid Atl,NE,5285.0,854.0,30.6,74.6,30-34
112,Mid Atl,NE,5285.0,854.0,30.6,74.6,30-34
113,Mid Atl,NE,5285.0,854.0,30.6,74.6,30-34
114,Mid Atl,NE,5285.0,854.0,30.6,74.6,30-34
115,Mid Atl,NE,5285.0,854.0,30.6,74.6,30-34
116,Mid Atl,NE,5285.0,854.0,30.6,74.6,30-34
117,Mid Atl,NE,5285.0,854.0,30.6,74.6,30-34
118,Mid Atl,NE,5285.0,854.0,30.6,74.6,30-34
119,Mid Atl,NE,5285.0,854.0,30.6,74.6,30-34
120,Mid Atl,NE,5285.0,854.0,30.6,74.6,30-34
121,Mid Atl,NE,4947.0,1075.0,31.2,76.5,30-34
122,Mid Atl,NE,4947.0,1075.0,31.2,76.5,30-34
123,Mid Atl,NE,4947.0,1075.0,31.2,76.5,30-34
124,Mid Atl,NE,4947.0,1075.0,31.2,76.5,30-34
125,Mid Atl,NE,4972.0,1091.0,31.3,76.8,30-34
126,Mid Atl,NE,4972.0,1091.0,31.3,76.8,30-34
127,Mid Atl,NE,5169.0,886.0,31.3,75.0,30-34
128,Mid Atl,NE,4972.0,1091.0,31.3,76.8,30-34
129,Mid Atl,NE,4972.0,1091.0,31.3,76.8,35+
130,Mid Atl,NE,4972.0,1091.0,31.3,76.8,35+
131,Mid Atl,NE,5169.0,886.0,31.3,75.0,35+
132,Mid Atl,NE,5169.0,886.0,31.3,75.0,35+
133,Mid Atl,NE,5169.0,886.0,31.3,75.0,35+
134,Mid Atl,NE,5169.0,886.0,31.3,75.0,35+
135,Mid Atl,NE,4972.0,1091.0,31.3,76.8,35+
136,Mid Atl,NE,4972.0,1091.0,31.3,76.8,35+
137,Mid Atl,NE,4972.0,1091.0,31.3,76.8,35+
138,Mid Atl,NE,4972.0,1091.0,31.3,76.8,35+
139,Mid Atl,NE,4972.0,1091.0,31.3,76.8,35+
140,Mid Atl,NE,4972.0,1091.0,31.3,76.8,35+
141,Mid Atl,NE,4972.0,1091.0,31.3,76.8,35+
142,Mid Atl,NE,4972.0,1091.0,31.3,76.8,35+
143,Mid Atl,NE,4972.0,1091.0,31.3,76.8,35+
144,Mid Atl,NE,4972.0,1091.0,31.3,76.8,35+
145,Mid Atl,NE,4972.0,1091.0,31.3,76.8,35+
146,Mid Atl,NE,4972.0,1091.0,31.3,76.8,35+
147,Mid Atl,NE,4972.0,1091.0,31.3,76.8,35+
148,Mid Atl,NE,4972.0,1091.0,31.3,76.8,35+
149,Mid Atl,NE,4972.0,1091.0,31.3,76.8,35+
150,Mid Atl,NE,5169.0,886.0,31.3,75.0,35+
151,Mid Atl,NE,4950.0,983.0,31.6,75.9,35+
152,N. Eng.,NE,5305.0,721.0,31.6,73.4,35+
153,Mid Atl,NE,5158.0,770.0,31.6,74.0,35+
154,N. Eng.,NE,5305.0,721.0,31.6,73.4,35+
155,Mid Atl,NE,4868.0,1089.0,31.8,76.7,35+
156,Mid Atl,NE,4868.0,1089.0,31.8,76.7,35+
157,Mid Atl,NE,5086.0,792.0,31.8,74.4,35+
158,Mid Atl,NE,4868.0,1089.0,31.8,76.7,35+
159,Mid Atl,NE,4868.0,1089.0,31.8,76.7,35+
160,Mid Atl,NE,4922.0,1051.0,31.8,76.4,35+
161,Mid Atl,NE,4868.0,1089.0,31.8,76.7,35+
162,Mid Atl,NE,4922.0,1051.0,31.8,76.4,35+
163,Mid Atl,NE,4945.0,981.0,31.8,75.8,35+
166,W.N.C.,N Cntrl,9881.0,418.0,2.2,68.8,19-29
167,W.N.C.,N Cntrl,9343.0,476.0,4.3,70.6,19-29
168,W.N.C.,N Cntrl,9343.0,476.0,4.3,70.6,19-29
169,W.N.C.,N Cntrl,9901.0,150.0,6.3,65.3,19-29
170,W.N.C.,N Cntrl,9415.0,423.0,6.3,69.4,19-29
171,W.N.C.,N Cntrl,9075.0,473.0,6.7,70.4,19-29
172,W.N.C.,N Cntrl,8965.0,397.0,7.0,69.8,19-29
173,W.N.C.,N Cntrl,8570.0,589.0,8.3,72.1,19-29
174,E.N.C.,N Cntrl,9378.0,192.0,9.2,65.8,19-29
175,E.N.C.,N Cntrl,8463.0,472.0,9.8,70.8,19-29
176,W.N.C.,N Cntrl,8277.0,479.0,10.8,70.7,19-29
177,W.N.C.,N Cntrl,7967.0,654.0,11.0,72.8,19-29
178,W.N.C.,N Cntrl,8007.0,662.0,11.2,73.1,19-29
179,W.N.C.,N Cntrl,8007.0,662.0,11.2,73.1,19-29
180,W.N.C.,N Cntrl,8007.0,662.0,11.2,73.1,19-29
181,E.N.C.,N Cntrl,8565.0,371.0,11.2,69.4,19-29
182,W.N.C.,N Cntrl,8007.0,662.0,11.2,73.1,19-29
183,W.N.C.,N Cntrl,8007.0,662.0,11.2,73.1,19-29
184,W.N.C.,N Cntrl,8007.0,662.0,11.2,73.1,19-29
185,W.N.C.,N Cntrl,8007.0,662.0,11.2,73.1,19-29
186,W.N.C.,N Cntrl,8007.0,662.0,11.2,73.1,19-29
187,W.N.C.,N Cntrl,8007.0,662.0,11.2,73.1,19-29
188,W.N.C.,N Cntrl,8007.0,662.0,11.2,73.1,19-29
189,W.N.C.,N Cntrl,8007.0,662.0,11.2,73.1,19-29
190,W.N.C.,N Cntrl,8007.0,662.0,11.2,73.1,19-29
191,W.N.C.,N Cntrl,8007.0,662.0,11.2,73.1,19-29
192,W.N.C.,N Cntrl,8007.0,662.0,11.2,73.1,19-29
193,W.N.C.,N Cntrl,8007.0,662.0,11.2,73.1,19-29
194,W.N.C.,N Cntrl,8007.0,662.0,11.2,73.1,19-29
195,W.N.C.,N Cntrl,8007.0,662.0,11.2,73.1,19-29
196,W.N.C.,N Cntrl,7885.0,749.0,12.4,74.0,19-29
197,W.N.C.,N Cntrl,7881.0,619.0,12.5,72.2,19-29
198,W.N.C.,N Cntrl,7819.0,653.0,12.7,72.8,19-29
199,E.N.C.,N Cntrl,6563.0,615.0,14.0,64.5,19-29
200,W.N.C.,N Cntrl,7537.0,667.0,14.0,72.6,19-29
201,W.N.C.,N Cntrl,7537.0,667.0,14.0,72.6,19-29
202,E.N.C.,N Cntrl,6563.0,615.0,14.0,64.5,19-29
203,E.N.C.,N Cntrl,6563.0,615.0,14.0,64.5,19-29
204,E.N.C.,N Cntrl,7540.0,683.0,14.0,73.0,19-29
205,E.N.C.,N Cntrl,8143.0,381.0,14.0,69.5,19-29
206,E.N.C.,N Cntrl,7728.0,515.0,15.3,71.4,19-29
207,E.N.C.,N Cntrl,7692.0,523.0,15.4,71.4,19-29
208,E.N.C.,N Cntrl,7642.0,467.0,15.6,70.6,19-29
209,W.N.C.,N Cntrl,7375.0,580.0,15.6,71.9,19-29
210,E.N.C.,N Cntrl,7568.0,521.0,15.8,71.3,19-29
211,W.N.C.,N Cntrl,7175.0,785.0,15.8,73.9,19-29
212,W.N.C.,N Cntrl,6947.0,940.0,16.2,75.6,19-29
213,W.N.C.,N Cntrl,7013.0,761.0,16.8,73.8,19-29
214,W.N.C.,N Cntrl,6874.0,792.0,17.1,74.0,19-29
215,E.N.C.,N Cntrl,7055.0,648.0,17.4,72.5,19-29
216,E.N.C.,N Cntrl,7166.0,616.0,17.5,72.2,19-29
217,E.N.C.,N Cntrl,7194.0,570.0,18.1,71.8,19-29
218,E.N.C.,N Cntrl,7194.0,570.0,18.1,71.8,19-29
219,E.N.C.,N Cntrl,6952.0,714.0,18.3,73.0,19-29
220,E.N.C.,N Cntrl,7517.0,388.0,18.3,69.7,19-29
221,W.N.C.,N Cntrl,6671.0,828.0,18.5,74.3,19-29
222,W.N.C.,N Cntrl,6554.0,1019.0,18.6,76.3,19-29
223,E.N.C.,N Cntrl,7326.0,470.0,18.7,70.5,19-29
224,E.N.C.,N Cntrl,7326.0,470.0,18.7,70.5,19-29
225,E.N.C.,N Cntrl,6762.0,784.0,18.9,73.9,19-29
226,E.N.C.,N Cntrl,6703.0,767.0,19.2,73.4,19-29
227,E.N.C.,N Cntrl,7232.0,428.0,19.5,70.5,19-29
228,W.N.C.,N Cntrl,6482.0,872.0,19.5,74.4,19-29
229,E.N.C.,N Cntrl,6498.0,899.0,19.5,74.9,19-29
230,E.N.C.,N Cntrl,6498.0,899.0,19.5,74.9,19-29
231,E.N.C.,N Cntrl,6611.0,791.0,19.5,73.7,19-29
232,E.N.C.,N Cntrl,6848.0,707.0,19.7,73.4,19-29
233,E.N.C.,N Cntrl,6848.0,707.0,19.7,73.4,19-29
234,E.N.C.,N Cntrl,6848.0,707.0,19.7,73.4,19-29
235,W.N.C.,N Cntrl,6376.0,968.0,19.8,75.4,19-29
236,W.N.C.,N Cntrl,6339.0,1028.0,19.9,76.2,19-29
237,E.N.C.,N Cntrl,6563.0,615.0,20.0,67.9,19-29
238,E.N.C.,N Cntrl,6563.0,615.0,20.0,67.9,19-29
239,E.N.C.,N Cntrl,6563.0,615.0,20.0,67.9,19-29
240,E.N.C.,N Cntrl,6563.0,615.0,20.0,67.9,19-29
241,E.N.C.,N Cntrl,6563.0,615.0,20.0,67.9,19-29
242,E.N.C.,N Cntrl,6618.0,733.0,20.1,73.0,19-29
243,E.N.C.,N Cntrl,6618.0,733.0,20.1,73.0,19-29
244,E.N.C.,N Cntrl,6618.0,733.0,20.1,73.0,19-29
245,E.N.C.,N Cntrl,6563.0,615.0,20.2,67.4,19-29
246,E.N.C.,N Cntrl,6563.0,615.0,20.2,67.4,19-29
247,E.N.C.,N Cntrl,6881.0,591.0,20.2,71.5,19-29
248,W.N.C.,N Cntrl,6194.0,1166.0,20.2,77.7,19-29
249,W.N.C.,N Cntrl,6194.0,1166.0,20.2,77.7,19-29
250,E.N.C.,N Cntrl,6563.0,615.0,20.2,67.4,19-29
251,E.N.C.,N Cntrl,6563.0,615.0,20.2,67.4,19-29
252,E.N.C.,N Cntrl,6881.0,591.0,20.2,71.5,19-29
253,E.N.C.,N Cntrl,6563.0,615.0,20.2,67.4,19-29
254,E.N.C.,N Cntrl,6881.0,591.0,20.2,71.5,19-29
255,E.N.C.,N Cntrl,6563.0,615.0,20.2,67.4,19-29
256,E.N.C.,N Cntrl,7090.0,485.0,20.4,70.1,19-29
257,E.N.C.,N Cntrl,6919.0,591.0,20.4,71.7,19-29
258,W.N.C.,N Cntrl,6274.0,1017.0,20.6,75.8,19-29
259,W.N.C.,N Cntrl,6274.0,1017.0,20.6,75.8,19-29
260,W.N.C.,N Cntrl,6482.0,1028.0,20.6,76.6,19-29
261,E.N.C.,N Cntrl,7103.0,501.0,20.7,71.0,19-29
262,E.N.C.,N Cntrl,7103.0,501.0,20.7,71.0,19-29
263,W.N.C.,N Cntrl,7301.0,667.0,20.8,72.6,19-29
264,E.N.C.,N Cntrl,6302.0,917.0,20.9,74.8,19-29
265,E.N.C.,N Cntrl,6427.0,787.0,20.9,73.5,19-29
266,W.N.C.,N Cntrl,6181.0,992.0,21.0,75.5,19-29
267,E.N.C.,N Cntrl,7068.0,456.0,21.3,70.1,19-29
268,E.N.C.,N Cntrl,7068.0,456.0,21.3,70.1,19-29
269,E.N.C.,N Cntrl,6483.0,791.0,21.4,73.4,19-29
270,E.N.C.,N Cntrl,6483.0,791.0,21.4,73.4,19-29
271,E.N.C.,N Cntrl,6455.0,740.0,21.4,73.0,19-29
272,E.N.C.,N Cntrl,6455.0,740.0,21.4,73.0,19-29
273,E.N.C.,N Cntrl,6455.0,740.0,21.4,73.0,19-29
274,E.N.C.,N Cntrl,6455.0,740.0,21.4,73.0,19-29
275,E.N.C.,N Cntrl,6455.0,740.0,21.4,73.0,19-29
276,E.N.C.,N Cntrl,6483.0,791.0,21.4,73.4,19-29
277,E.N.C.,N Cntrl,6455.0,740.0,21.4,73.0,19-29
278,E.N.C.,N Cntrl,6483.0,791.0,21.4,73.4,19-29
279,E.N.C.,N Cntrl,6483.0,791.0,21.4,73.4,19-29
280,E.N.C.,N Cntrl,6455.0,740.0,21.4,73.0,19-29
281,E.N.C.,N Cntrl,6483.0,791.0,21.4,73.4,19-29
282,E.N.C.,N Cntrl,6483.0,791.0,21.4,73.4,19-29
283,E.N.C.,N Cntrl,6455.0,740.0,21.4,73.0,19-29
284,E.N.C.,N Cntrl,6455.0,740.0,21.4,73.0,19-29
285,E.N.C.,N Cntrl,6455.0,740.0,21.4,73.0,19-29
286,E.N.C.,N Cntrl,6455.0,740.0,21.4,73.0,19-29
287,E.N.C.,N Cntrl,6483.0,791.0,21.4,73.4,19-29
288,E.N.C.,N Cntrl,6455.0,740.0,21.4,73.0,19-29
289,E.N.C.,N Cntrl,6483.0,791.0,21.4,73.4,19-29
290,E.N.C.,N Cntrl,6455.0,740.0,21.4,73.0,19-29
291,E.N.C.,N Cntrl,6455.0,740.0,21.4,73.0,19-29
292,E.N.C.,N Cntrl,6455.0,740.0,21.4,73.0,19-29
293,E.N.C.,N Cntrl,6483.0,791.0,21.4,73.4,19-29
294,E.N.C.,N Cntrl,6455.0,740.0,21.4,73.0,19-29
295,E.N.C.,N Cntrl,6455.0,740.0,21.4,73.0,19-29
296,E.N.C.,N Cntrl,6455.0,740.0,21.4,73.0,19-29
297,E.N.C.,N Cntrl,6226.0,948.0,21.5,75.0,19-29
298,E.N.C.,N Cntrl,6226.0,948.0,21.5,75.0,19-29
299,E.N.C.,N Cntrl,6987.0,530.0,21.6,70.8,19-29
300,E.N.C.,N Cntrl,6987.0,530.0,21.6,70.8,19-29
301,E.N.C.,N Cntrl,6833.0,609.0,21.6,71.9,19-29
302,W.N.C.,N Cntrl,5967.0,1263.0,21.9,78.5,19-29
303,E.N.C.,N Cntrl,6847.0,555.0,22.0,71.5,19-29
304,E.N.C.,N Cntrl,6927.0,570.0,22.0,71.4,19-29
305,E.N.C.,N Cntrl,6927.0,570.0,22.0,71.4,19-29
306,E.N.C.,N Cntrl,6927.0,570.0,22.0,71.4,19-29
307,E.N.C.,N Cntrl,6658.0,636.0,22.4,72.1,19-29
308,E.N.C.,N Cntrl,6658.0,636.0,22.4,72.1,19-29
309,E.N.C.,N Cntrl,6723.0,599.0,22.4,71.7,19-29
310,E.N.C.,N Cntrl,6658.0,636.0,22.4,72.1,19-29
311,E.N.C.,N Cntrl,6177.0,955.0,22.6,75.0,19-29
312,E.N.C.,N Cntrl,6177.0,955.0,22.6,75.0,19-29
313,E.N.C.,N Cntrl,6177.0,955.0,22.6,75.0,19-29
314,E.N.C.,N Cntrl,6177.0,955.0,22.6,75.0,19-29
315,E.N.C.,N Cntrl,6177.0,955.0,22.6,75.0,19-29
316,E.N.C.,N Cntrl,6177.0,955.0,22.6,75.0,19-29
317,E.N.C.,N Cntrl,6177.0,955.0,22.6,75.0,19-29
318,E.N.C.,N Cntrl,6251.0,875.0,22.9,74.0,19-29
319,E.N.C.,N Cntrl,6251.0,875.0,22.9,74.0,19-29
320,E.N.C.,N Cntrl,6251.0,875.0,22.9,74.0,19-29
321,E.N.C.,N Cntrl,6251.0,875.0,22.9,74.0,19-29
322,E.N.C.,N Cntrl,6251.0,875.0,22.9,74.0,19-29
323,E.N.C.,N Cntrl,6251.0,875.0,22.9,74.0,19-29
324,E.N.C.,N Cntrl,6223.0,818.0,23.0,73.6,19-29
325,E.N.C.,N Cntrl,6925.0,451.0,23.1,70.1,19-29
326,E.N.C.,N Cntrl,6570.0,622.0,23.1,71.8,19-29
327,E.N.C.,N Cntrl,6377.0,710.0,23.2,72.5,19-29
328,E.N.C.,N Cntrl,6377.0,710.0,23.2,72.5,30-34
329,E.N.C.,N Cntrl,6377.0,710.0,23.2,72.5,30-34
330,E.N.C.,N Cntrl,6320.0,786.0,23.3,73.3,30-34
331,E.N.C.,N Cntrl,6563.0,615.0,23.4,72.6,30-34
332,E.N.C.,N Cntrl,6563.0,615.0,23.4,71.9,30-34
333,E.N.C.,N Cntrl,6563.0,615.0,23.4,72.6,30-34
334,E.N.C.,N Cntrl,6563.0,615.0,23.4,71.9,30-34
335,E.N.C.,N Cntrl,6563.0,615.0,23.4,71.9,30-34
336,E.N.C.,N Cntrl,6563.0,615.0,23.4,72.6,30-34
337,E.N.C.,N Cntrl,6563.0,615.0,23.4,71.9,30-34
338,E.N.C.,N Cntrl,6563.0,615.0,23.4,71.9,30-34
339,E.N.C.,N Cntrl,6563.0,615.0,23.4,72.6,30-34
340,E.N.C.,N Cntrl,6611.0,621.0,23.6,72.0,30-34
341,E.N.C.,N Cntrl,5789.0,1120.0,23.6,76.7,30-34
342,E.N.C.,N Cntrl,6318.0,734.0,23.6,72.9,30-34
343,E.N.C.,N Cntrl,6281.0,751.0,23.7,73.2,30-34
344,E.N.C.,N Cntrl,6281.0,751.0,23.7,73.2,30-34
345,E.N.C.,N Cntrl,6346.0,723.0,23.8,72.9,30-34
346,E.N.C.,N Cntrl,6376.0,699.0,23.8,72.5,30-34
347,E.N.C.,N Cntrl,6262.0,746.0,23.9,72.8,30-34
348,E.N.C.,N Cntrl,6569.0,587.0,24.1,71.0,30-34
349,E.N.C.,N Cntrl,6560.0,485.0,24.2,70.1,30-34
350,E.N.C.,N Cntrl,6035.0,962.0,24.6,74.2,30-34
351,E.N.C.,N Cntrl,5640.0,1084.0,24.6,76.1,30-34
352,E.N.C.,N Cntrl,5640.0,1084.0,24.6,76.1,30-34
353,E.N.C.,N Cntrl,5640.0,1084.0,24.6,76.1,30-34
354,E.N.C.,N Cntrl,5640.0,1084.0,24.6,76.1,30-34
355,E.N.C.,N Cntrl,5654.0,1165.0,24.6,76.5,30-34
356,E.N.C.,N Cntrl,5758.0,1019.0,24.7,75.2,30-34
357,E.N.C.,N Cntrl,5758.0,1019.0,24.7,75.2,30-34
358,E.N.C.,N Cntrl,6249.0,652.0,24.8,72.0,30-34
359,E.N.C.,N Cntrl,6404.0,515.0,24.8,70.5,30-34
360,W.N.C.,N Cntrl,5453.0,1347.0,24.9,78.5,30-34
361,E.N.C.,N Cntrl,6023.0,817.0,25.0,73.7,30-34
362,E.N.C.,N Cntrl,6241.0,625.0,25.1,71.6,30-34
363,E.N.C.,N Cntrl,6241.0,625.0,25.1,71.6,30-34
364,E.N.C.,N Cntrl,6241.0,625.0,25.1,71.6,30-34
365,E.N.C.,N Cntrl,6241.0,625.0,25.1,71.6,30-34
366,E.N.C.,N Cntrl,6241.0,625.0,25.1,71.6,30-34
367,E.N.C.,N Cntrl,6241.0,625.0,25.1,71.6,30-34
368,E.N.C.,N Cntrl,6241.0,625.0,25.1,71.6,30-34
369,E.N.C.,N Cntrl,6113.0,732.0,25.4,72.6,30-34
370,E.N.C.,N Cntrl,5910.0,849.0,25.5,73.7,30-34
371,E.N.C.,N Cntrl,6178.0,612.0,25.5,71.6,30-34
372,E.N.C.,N Cntrl,6178.0,612.0,25.5,71.6,30-34
373,E.N.C.,N Cntrl,6178.0,612.0,25.5,71.6,30-34
374,E.N.C.,N Cntrl,6178.0,612.0,25.5,71.6,30-34
375,E.N.C.,N Cntrl,6178.0,612.0,25.5,71.6,30-34
376,E.N.C.,N Cntrl,6178.0,612.0,25.5,71.6,30-34
377,E.N.C.,N Cntrl,6178.0,612.0,25.5,71.6,30-34
378,E.N.C.,N Cntrl,6178.0,612.0,25.5,71.6,30-34
379,E.N.C.,N Cntrl,6178.0,612.0,25.5,71.6,30-34
380,E.N.C.,N Cntrl,6178.0,612.0,25.5,71.6,30-34
381,E.N.C.,N Cntrl,6178.0,612.0,25.5,71.6,30-34
382,E.N.C.,N Cntrl,6178.0,612.0,25.5,71.6,30-34
383,E.N.C.,N Cntrl,6178.0,612.0,25.5,71.6,30-34
384,E.N.C.,N Cntrl,5884.0,890.0,25.6,73.8,30-34
385,E.N.C.,N Cntrl,6241.0,579.0,25.6,70.9,30-34
386,E.N.C.,N Cntrl,5973.0,728.0,25.6,72.8,30-34
387,E.N.C.,N Cntrl,5599.0,1009.0,25.7,75.2,30-34
388,E.N.C.,N Cntrl,6016.0,821.0,25.7,73.9,30-34
389,E.N.C.,N Cntrl,5453.0,1175.0,25.8,76.6,30-34
390,E.N.C.,N Cntrl,6020.0,707.0,25.9,72.6,30-34
391,E.N.C.,N Cntrl,6020.0,707.0,25.9,72.6,30-34
392,E.N.C.,N Cntrl,5650.0,988.0,26.0,75.1,30-34
393,E.N.C.,N Cntrl,5650.0,988.0,26.0,75.1,30-34
394,W.N.C.,N Cntrl,5319.0,1380.0,26.1,78.6,30-34
395,E.N.C.,N Cntrl,5521.0,1049.0,26.2,75.6,30-34
